date,continent,new_cases_avg_per_pop,new_deaths_avg_per_pop
2020-05-09,South America,33.847259044357095,2.527590329834305
2020-05-09,Oceania,NA,NA
2020-05-10,Asia,3.411939680837637,0.07929166422059263
2020-05-10,Europe,30.468431961527685,2.2704626087359756
2020-05-10,Africa,1.9495193772831563,0.051240105434227946
2020-05-10,North America,47.383085470093626,3.480867908991203
2020-05-10,South America,33.84363785477281,2.6888978658617617
2020-05-10,Oceania,NA,NA
2020-05-11,Asia,3.4856357332365357,0.07477213159537854
2020-05-11,Europe,30.882973629884372,2.2063209456339536
2020-05-11,Africa,1.992740197923816,0.05217742443607357
2020-05-11,North America,46.157648380837166,3.392665357434101
2020-05-11,South America,33.548675503179744,2.7879867808500562
2020-05-11,Oceania,NA,NA
2020-05-12,Asia,3.5506309167039003,0.0744954255162838
2020-05-12,Europe,30.907716704671504,2.150934524379685
2020-05-12,Africa,2.1096967800429987,0.050823519211185435
2020-05-12,North America,46.13620021939296,3.2613254924105477
2020-05-12,South America,34.39570466685044,2.9555490988867406
2020-05-12,Oceania,NA,NA
2020-05-13,Asia,3.5813145463635165,0.07455691575608263
2020-05-13,Europe,29.64334558304915,1.9857269173394614
2020-05-13,Africa,2.149272471232037,0.05071937265542481
2020-05-13,North America,45.05559846752944,3.1319135520111936
2020-05-13,South America,35.579504461860104,2.9914317956765215
2020-05-13,Oceania,NA,NA
2020-05-14,Asia,3.7331646935467306,0.07532554375356801
2020-05-14,Europe,28.8018907089422,1.9630774873420114
2020-05-14,Africa,2.214259922026667,0.05071937265542481
2020-05-14,North America,44.64495052257507,3.098897842821786
2020-05-14,South America,37.527375259154915,3.056942407246856
2020-05-14,Oceania,NA,NA
2020-05-15,Asia,3.763294911048158,0.07569448519236101
2020-05-15,Europe,28.21262486631947,1.842788077607655
2020-05-15,Africa,2.1407324536596652,0.04863644154021229
2020-05-15,North America,44.29117635403457,3.095523974729438
2020-05-15,South America,40.38745663263765,3.205411180202739
2020-05-15,Oceania,NA,NA
2020-05-16,Asia,3.9054910905829536,0.0762786424704499
2020-05-16,Europe,27.560549680006332,1.827371238701828
2020-05-16,Africa,2.1552088249103925,0.05040693298814293
2020-05-16,North America,44.23357960588662,3.04612090623434
2020-05-16,South America,43.164579844734845,3.265654606923197
2020-05-16,Oceania,NA,NA
2020-05-17,Asia,3.9765123175506036,0.077692917985823
2020-05-17,Europe,26.923510669909984,1.8376491313057126
2020-05-17,Africa,2.232068983061734,0.048428148428691045
2020-05-17,North America,44.28587456131802,3.002260621033814
2020-05-17,South America,44.22394239766618,3.144180156322929
2020-05-17,Oceania,NA,NA
2020-05-18,Asia,4.106779390564428,0.08021401781757509
2020-05-18,Europe,25.687118255931537,1.7839756921520917
2020-05-18,Africa,2.2938278906277856,0.05040693298814293
2020-05-18,North America,45.399492022370936,3.0526276518410116
2020-05-18,South America,47.42474479112528,3.2376726874082302
2020-05-18,Oceania,NA,NA
2020-05-19,Asia,4.262472677735068,0.08119786165435637
2020-05-19,Europe,24.88982025375239,1.6705382108203253
2020-05-19,Africa,2.2990352184158165,0.05290645032639796
2020-05-19,North America,45.030776437992884,3.0065984514382613
2020-05-19,South America,51.07852508167372,3.343016384405753
2020-05-19,Oceania,NA,NA
2020-05-20,Asia,4.434952800370789,0.08052146901656924
2020-05-20,Europe,24.47032997043828,1.60601588502927
2020-05-20,Africa,2.3834980751376844,0.051448398545749195
2020-05-20,North America,45.76338779518849,2.9810534501676256
2020-05-20,South America,55.59118570180509,3.4816091857681184
2020-05-20,Oceania,NA,NA
2020-05-21,Asia,4.545758212488282,0.08101339093495989
2020-05-21,Europe,23.909613829493,1.4756389140355455
2020-05-21,Africa,2.556277211144563,0.05540596766465298
2020-05-21,North America,45.80315124056259,2.8682698596519867
2020-05-21,South America,58.13029799849849,3.615922399439959
2020-05-21,Oceania,NA,NA
2020-05-22,Asia,4.744310196798708,0.08307331396822072
2020-05-22,Europe,23.56035581230543,1.515798827728503
2020-05-22,Africa,2.6552164391171575,0.05821792467018988
2020-05-22,North America,45.68530684790843,2.7995875449148997
2020-05-22,South America,60.05710005639381,3.5994624467840968
2020-05-22,Oceania,NA,NA
2020-05-23,Asia,4.885952964175314,0.0842108834044991
2020-05-23,Europe,23.42312691290912,1.458699424373587
2020-05-23,Africa,2.745407356405859,0.056968166001062366
2020-05-23,North America,45.07102186452304,2.7429547590790553
2020-05-23,South America,62.72032039611242,3.7113901248439642
2020-05-23,Oceania,NA,NA
